Date	number of bedrooms	number of bathrooms	living area	lot area	number of floors	waterfront present	number of views	condition of the house	grade of the house	Area of the house(excluding basement)	Area of the basement	Built Year	Renovation Year	Postal Code	Lattitude	Longitude	living_area_renov	lot_area_renov	Number of schools nearby	Distance from the airport	Price
42547	1	1.5	1170	1456	2.0	0	0	3	8	1070	100	2007	0	122064	52.7793	-114.562	1360	1730	2	74	235000
42552	3	2.5	1840	9900	1.0	0	0	3	9	1840	0	1978	0	122030	52.8431	-114.341	2730	9900	3	56	552000
42497	2	1.0	1540	6872	1.0	0	0	4	7	820	720	1946	0	122003	52.8754	-114.563	1420	5538	3	72	615000
42676	5	2.5	2090	8712	1.0	0	0	3	8	1420	670	1966	0	122029	52.8268	-114.317	2490	8712	1	69	555000
42641	3	2.75	1670	1350	3.0	0	0	3	9	1350	320	2014	0	122009	52.8064	-114.598	1520	4800	3	59	649950
42676	4	2.25	1600	6202	2.0	0	0	4	7	1600	0	1986	0	122024	52.6084	-114.236	1530	6298	1	71	257700
42564	4	2.0	2190	4560	2.5	0	0	5	8	2190	0	1910	0	122028	52.892	-114.519	2190	4560	2	54	980000
42518	3	2.5	1360	1016	3.0	0	0	3	7	1310	50	2003	0	122006	52.9074	-114.514	1365	1156	3	66	535000
42539	3	2.5	2430	10500	2.0	0	1	3	9	2430	0	1989	0	122048	52.8118	-114.388	3440	12842	2	69	1030000
42622	3	2.5	2080	8690	1.0	0	0	3	8	1430	650	1974	0	122031	52.6724	-114.534	2400	9625	2	53	549950
42538	4	2.5	3250	5000	2.0	0	0	3	8	3250	0	2008	0	122015	52.7288	-114.338	3230	5507	2	67	580000
42557	4	3.0	2200	10800	1.0	0	0	3	6	2200	0	1960	0	122046	52.6776	-114.359	1430	10800	1	68	300000
42705	3	2.5	2160	59241	1.0	0	0	3	7	2160	0	2007	0	122035	52.5604	-114.32	2290	125017	2	60	389900
42641	5	1.75	1970	8925	1.0	0	0	5	7	1170	800	1977	0	122072	52.5225	-114.386	1910	8025	3	79	255000
42495	4	2.5	3040	6425	2.0	0	0	3	8	3040	0	2008	0	122005	52.9088	-114.307	3040	7800	2	57	776000
42727	3	2.5	1610	8544	2.0	0	0	5	7	1610	0	1994	0	122024	52.6014	-114.244	1840	8190	3	54	319000
42540	3	2.75	2470	10125	2.0	0	0	3	8	2470	0	1960	2012	122057	52.7951	-114.413	2290	10125	3	75	970500
42708	4	1.75	1570	9670	1.0	0	0	3	7	1170	400	1959	0	122058	52.9732	-114.438	2080	9100	2	77	356500
42645	2	1.0	820	288367	1.0	0	0	3	6	820	0	1930	1986	122035	52.6496	-114.355	1580	8154	3	71	295000
42558	1	1.0	850	8050	1.0	0	0	2	6	850	0	1906	0	122051	52.7727	-114.478	1590	5180	1	56	165000
42680	3	1.75	1300	7735	1.0	0	0	4	7	1300	0	1980	0	122068	52.4283	-114.19	1300	8941	2	72	224500
42570	3	1.75	2370	6360	1.0	0	3	3	7	1280	1090	1954	0	122063	52.7339	-114.43	1990	6360	3	80	385000
42567	3	2.0	1550	2401	2.0	0	0	3	7	1550	0	1996	0	122028	52.8845	-114.538	1550	3446	3	66	440000
42638	4	2.5	2570	22215	2.0	0	0	5	7	2570	0	1958	0	122015	52.7133	-114.347	2460	6533	2	67	390000
42609	5	3.5	4330	11979	1.0	0	4	3	12	2090	2240	2008	0	122048	52.8551	-114.408	4320	12000	3	73	3170000
42501	4	2.25	3290	12329	1.5	0	0	4	10	3290	0	1968	0	122057	52.7939	-114.406	3170	12329	2	80	947500
