X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	target
382174.8196586628	524724.4257063047	531820.7651628989	711136.5964660262	369986.9139336043	567646.5327293705	757961.5351248863	624748.4745334581	635323.1767246814	641276.4495155063	719300.0954840679	390916.13821830286	285370.0912036929	554248.4210754621	199863.048476114	712121.6917556714	593007.010754032	453371.75501859706	487763.1587864808	-33815624.26037506
516454.2825183899	532014.8578039432	394517.2934692179	598521.7371713895	293773.58682778873	423619.8816139405	462432.434542729	333425.76391834504	733654.5152354387	364721.4811657612	424528.4768066296	667399.6174406072	572319.5910595857	419770.1275134109	593477.9737573857	564754.5257939223	735356.963889875	568598.8164376838	523538.0214306741	-33120574.340943504
656614.2751850423	305009.45621143875	314283.1668352144	506153.60170062585	414777.7261712721	387091.5183725866	471654.7113474124	366349.1809704383	366820.2735831413	657716.2272306941	312188.1920338728	320197.78441757674	392116.44886011264	644355.7699104886	471750.9180219288	446598.2032992109	442462.0030842375	272766.6466762152	622658.2014724711	-29250071.606519174
441200.6875254526	573294.8738712579	356339.2145198026	441615.20643272594	604425.4776014775	509700.60977883945	692679.9071685628	579115.6088785328	369535.19416947785	489959.7713069826	519621.0405226429	727039.1883636977	414216.8566353156	343563.5898118384	559991.3680404321	401016.16643626377	272297.8480123728	515596.6311195922	697185.5865441078	-30290162.335512508
600458.9571876405	777941.3859063169	407091.705346054	542959.3028678158	416896.2538019293	619017.2374409747	670454.531667579	824000.2986979656	583183.8982677157	660651.8557862251	442888.0390715623	616604.785507779	427439.6521864455	569162.1592302734	523164.8628895527	464184.0319995579	444840.5973047352	461361.273222352	486366.5510149781	-36026543.50923245
583983.5176243797	479267.9222461287	538877.132768676	221419.27421104143	612936.1578193747	654800.3141273516	268417.9396436921	577643.0302502062	711189.0209239974	796449.7811601661	437783.9240403039	649657.5509142671	682997.8309803305	604009.6034907592	676887.5602263301	513748.5525680371	487247.7758114041	427463.8039754327	519897.33942253096	-38340922.001907
558648.3513398023	536658.7347709332	589278.2434449774	170124.50202560154	565754.8683832953	351321.29813295265	710114.2446201738	514551.06728506426	516158.4841222956	344000.6839692533	675318.3328697372	628513.5351101969	559737.492595907	455793.0494765371	391922.2744767096	554387.9614738399	347906.2509323545	572858.4718168473	208747.66621096685	-32181949.09504662
294705.9480199002	529137.5880015239	354861.61342497665	663871.8660273057	571136.523840579	579068.4433685023	497929.5682769404	556931.3862785024	379213.2241398552	390429.8854204844	518814.0352050043	620624.6231198875	206304.65631943388	494106.52396410896	753993.0181607848	594427.0057052422	633566.4496696583	425752.413150328	474182.0787210933	-29116910.28906008
446460.3533505604	716951.6200083401	538688.6634146713	288695.3332447555	568370.0200962051	679927.2207085943	649757.192440851	688964.7250532673	290386.6172265319	575662.304205814	462037.9034618975	624030.4709750094	361176.74770593806	449257.83071099786	498583.8678836178	374991.3761040558	469985.2720180409	232383.40838233512	728805.6933339572	-29647802.160808142
437312.4072699656	538550.5179709228	263582.0167295055	740447.6244956753	679149.2776585808	399949.0787425569	367336.8181462859	405934.72987264086	598740.98665037	414271.17809150985	477495.4032673173	307318.9167963156	557522.9782386415	625657.1620283859	473460.7967694061	549682.5516203393	538620.651054318	535946.8444285254	667257.7609802629	-35039518.14025409
469967.7845063901	549907.6786965188	651304.4271296037	632490.5526369865	400367.8943591007	453477.9159629165	594494.3025953886	458891.3802460296	585612.283236328	366308.1983185144	557291.4385524937	683935.1057123087	488705.5743923173	576470.3188039376	615876.817827668	449805.5194816148	516390.4726643536	508803.2646992254	404015.2080706226	-36822588.47725559
459633.9160505808	533808.7000095738	555949.7141471934	524797.6389925331	602920.7708324483	689697.3605302086	575179.3667884377	453511.7364779346	642850.687072775	363727.553381284	347491.3312643279	588126.9952471039	554010.9615802364	403064.51463531406	446019.4540045858	424434.6184196068	374502.4234785865	642865.8680743985	655669.7882903997	-35859161.379617065
743968.2083811522	387554.51586585736	499776.8521486828	591497.5613759292	452773.7518855549	179508.40739709235	248349.2322154768	262370.82755857427	740398.1710602182	645035.1255498844	634562.5987119239	677573.5808202988	399820.4532379984	836105.2865721472	545443.5046495271	507967.2017962821	578838.3907634327	604842.054912058	753635.4955908847	-42509434.97016604
510567.7576506541	415115.6608355912	390726.4918139661	671407.3864812359	827115.0921243672	725052.9755137295	336431.2285134078	359751.938721182	334638.6299303214	576884.5049694469	77618.43633625064	460010.9760481247	679793.5366066283	674926.9540628778	428540.3142636044	451489.076690558	509378.2979459348	641719.6373724014	462456.3303033244	-38667319.351727895
418792.7365938255	519300.5363883511	696338.7268345269	650637.3975846263	592030.5642670258	457438.77898783697	516779.3193723761	637983.3542027526	506136.82437930745	478491.335798799	706401.0683148489	566755.0678366215	399568.3643301316	613475.5600388807	633443.5361733235	361533.6727870294	411131.9304135232	479060.68780253467	616046.7621112909	-38341776.57275369
375592.65834306384	486812.9955679068	519625.4406360441	415467.98269458674	402671.73786968936	535666.4931137227	267259.42475813173	625721.8036967571	609691.8389298235	479707.3710318056	439263.7231878113	404732.4331451058	427114.5200609966	530510.2890322248	454926.441262056	746270.12665408	212948.53306970137	388047.9453655644	659553.5472118473	-28981952.5312826
629095.3779972051	627963.1344202118	431394.5570719663	433796.0333662824	701630.936045221	532288.403798746	692347.3457848213	241878.0225991226	526193.4634666055	333725.24356525607	512420.8115956836	640497.5680105017	726683.4333615683	440519.3922868735	426241.1558601616	504402.2405089428	312068.87739574764	647677.2934793344	534627.1931879648	-37141320.57835527
414845.5858042362	355472.63073809	457108.6399501464	309460.0623130996	512220.2552696406	459635.728520775	165019.04019515173	596990.9118323767	484415.1259072249	725682.2815218576	550124.4159432277	643516.4851451026	649140.8445703363	538945.5861680737	498894.6620419757	272901.3958364367	595415.8393196427	492958.2654938822	388796.8959763091	-36116065.24358643
708955.7734855843	636345.9355287987	615222.4263146784	302493.74416054075	391836.6416411099	97054.78999023486	413669.5958032589	648813.6847417416	588370.5093701048	526329.1083077417	512965.8072167893	446143.7000072296	510002.33043830696	648496.0033907258	275339.4269828557	566299.4008404257	556114.1407500338	455883.3365448636	654765.0313076491	-33212949.57009768
399946.6111968684	618916.2535730496	365251.2800015116	518061.74974702473	556727.6654443262	407063.0659214401	857569.9849345544	609553.356474146	210654.46737227097	584280.5605999951	413053.3040235411	659703.3046833257	369169.2446028512	541018.0526911613	568908.3618963152	654968.8535802803	283176.40933031053	466975.289479302	471526.2573668674	-27580307.72419807
337428.3136708226	532347.3761191677	574839.3389624355	635637.3730406186	493903.733565392	368630.7566219855	317190.286486641	538278.733937012	827644.5144642551	474313.0192836083	505235.0754118512	560463.4634731374	421373.5473350397	728727.0475324977	666401.5835855426	647530.7967032205	559710.1471239326	418707.7470298488	366638.0988971095	-36093013.98207622
778728.7029079786	661341.5316505566	105524.05335032214	414849.4467678426	300783.30329878995	364676.1394095237	63588.43251578799	515787.5275704736	341884.7605482311	566304.3730394318	262543.1076421124	553081.1735863091	422493.5081895524	738333.0193976786	694366.9910845705	642374.2944843138	394986.5358509898	786234.844880767	303492.7706001334	-34627619.56190021
614944.2490796441	569482.0884256617	400936.44045266166	353748.2299277412	494590.85506472574	260773.215983454	554357.073950399	647447.5693910981	863256.4495049975	401077.905204804	657658.9134592414	443604.52872760384	321729.3497249683	417240.8579137335	518489.0833459066	373575.3042660992	359123.6568361724	452401.4350376335	430219.25985091645	-32346818.153234687
530921.7778383294	797937.2533031666	604792.9901581652	340518.6811439161	454773.8669766013	428648.3120119205	593824.7760689371	723561.7618015321	442111.4294442235	776376.9053202725	845162.3328257453	493111.36722016754	428039.3436141904	511008.34201778856	507658.3984248659	463263.9520302614	549938.3660395652	299860.52597724105	462224.9017961936	-35505566.84331964
481404.3485044949	736264.8183402055	585600.7453778413	454138.9175712983	525830.5545330972	491359.29928741074	408171.9425923245	646686.486603092	621873.7735038507	622323.663140175	554349.5343048486	400515.3799591317	552287.6212940792	570778.2942227571	776160.3788605393	316797.3030927804	344220.9381926836	294656.7044746893	511571.2370971804	-36985773.73100538
504478.43007857184	633094.6526735285	362388.0830295156	586760.355696899	518476.7800722133	488696.9754268326	535726.1015061383	548211.6632468204	795919.4422845935	491176.4278203359	451221.2518582295	742047.9665787604	543884.8624973721	648700.7317440666	356402.5228385784	557964.5657240083	540493.5415515183	420202.97539993207	643510.5715746438	-36381436.711395405
644018.5926646868	588208.6275197354	296639.1919846137	470955.78290173697	828472.3245688986	515170.037017116	486125.05457539	592260.0384790605	624988.7461451615	492996.55033315497	594971.6151160139	496023.458425193	582668.3100867798	575732.3377680922	565722.0359886357	400454.6010226924	331680.47401247534	643127.279079167	533177.3884517552	-39377209.21804892
563100.4795866165	385152.6434527497	252028.32143528023	346831.578309528	850262.7323522087	219077.31460612544	600875.4356685717	441027.87813646987	459536.3081296269	643582.763508634	603134.1415684415	447278.35551851336	289338.67148140265	630953.040847826	575468.018977122	474730.774197587	493343.2880762974	451654.4189793613	416648.3799071272	-31438583.326602504
642556.5868914833	502868.4539669693	230276.9703730992	532346.2845558084	642573.1235938615	390337.8221426698	538712.4967562556	522367.9408757635	717752.904593906	821127.9146738553	700063.9810793502	529738.9171645757	643164.1766105621	634205.302969934	488641.0941708506	847096.7822045339	342336.7456307646	596118.2693949026	676408.0632544437	-37454823.98314757
547347.4236972308	376121.2319308006	228569.21121124367	572080.6744525847	755010.1572000153	353953.2289075317	774225.273898728	566981.7898479479	510510.624750929	501323.4225897174	300134.65010691195	678449.3187758982	371557.8464126531	459847.04322429287	636309.8992795647	224433.75506655837	241801.69298578563	510513.366578496	591264.2438687072	-31137679.797340397
499499.2851775127	538174.3466914592	408205.8190049529	453417.0756476237	735671.0061465624	695618.8396720497	573205.8667841377	369311.8120393732	591573.5005903131	778579.3989522071	730462.8228107977	643352.6120577697	681957.50260129	561536.9804074881	585949.8934080974	412735.6476177001	474188.02581889473	695978.019762867	453683.4474430749	-43585415.61822312
482116.7092915802	698080.2993101812	625168.2639229185	510199.4536748765	444608.9875187397	558013.3459419733	596603.0214533233	592225.4090252955	523303.0881832357	604266.8591675576	563657.475817505	730319.6620184998	301161.9026401159	432778.8461926305	509408.0146190567	400328.543469713	463771.7280508225	359817.83620305534	396644.6072527381	-35511095.58951474
