index,input,MPFR,Posit64,Double,winner
0,0.703403,0.163355771521026614,0.163355771521026619,0.163355771521026621,Posit
1,0.327643,0.363613334846411677,0.363613334846411690,0.363613334846411729,Posit
2,0.569239,0.172251041281237474,0.172251041281237480,0.172251041281237499,Posit
3,0.244947,0.262314865208655937,0.262314865208655947,0.262314865208655934,Double
4,0.0037207,0.498777243221924475,0.498777243221924494,0.498777243221924460,Double
5,0.648131,0.279564615492918786,0.279564615492918796,0.279564615492918778,Double
6,0.159875,0.435797011858287650,0.435797011858287667,0.435797011858287675,Posit
7,0.444985,0.057435060189004174,0.057435060189004176,0.057435060189004176,EQUAL
8,0.0130982,0.493828324820853951,0.493828324820853970,0.493828324820853981,Posit
9,0.141945,0.442568275979501577,0.442568275979501594,0.442568275979501602,Posit
10,0.965833,0.042705042725033561,0.042705042725033562,0.042705042725033567,Posit
11,0.780965,0.265721883540142898,0.265721883540142908,0.265721883540142922,Posit
12,0.351136,0.299249204841483041,0.299249204841483052,0.299249204841483041,Double
13,0.361465,0.330903221736294977,0.330903221736294989,0.330903221736294995,Posit
14,0.435609,0.328611717517047009,0.328611717517047022,0.328611717517047042,Posit
15,0.401482,0.242468374064277144,0.242468374064277153,0.242468374064277153,EQUAL
16,0.221066,0.359134739793165198,0.359134739793165211,0.359134739793165236,Posit
17,0.0275777,0.489511541451035836,0.489511541451035855,0.489511541451035870,Posit
18,0.014917,0.209213644312314618,0.209213644312314626,0.209213644312314623,Double
19,0.943329,0.200074902719170091,0.200074902719170099,0.200074902719170111,Posit
20,0.306583,0.218223550905652539,0.218223550905652548,0.218223550905652541,Double
21,0.034815,0.474920917968504952,0.474920917968504970,0.474920917968504996,Posit
22,0.703396,0.272628164903444244,0.272628164903444254,0.272628164903444270,Posit
23,0.878601,0.050043315186986316,0.050043315186986317,0.050043315186986313,Posit
24,0.883851,0.007533031373365281,0.007533031373365281,0.007533031373365281,EQUAL
25,0.633388,0.138670511963174074,0.138670511963174079,0.138670511963174092,Posit
26,0.998249,0.023809994672965109,0.023809994672965109,0.023809994672965112,Posit
27,0.0889484,0.466755464359919176,0.466755464359919194,0.466755464359919214,Posit
28,0.0985131,0.128452005791081131,0.128452005791081135,0.128452005791081153,Posit
29,0.355833,0.238699977281351311,0.238699977281351320,0.238699977281351339,Posit
30,0.90022,0.074028583308019069,0.074028583308019072,0.074028583308019077,Posit
31,0.189292,0.392204500026247201,0.392204500026247216,0.392204500026247238,Posit
32,0.831985,0.155923529970930386,0.155923529970930392,0.155923529970930397,Posit
33,0.761823,0.023352815394013407,0.023352815394013408,0.023352815394013408,EQUAL
34,0.884728,0.102777898296500239,0.102777898296500243,0.102777898296500247,Posit
35,0.565383,0.318456808938307895,0.318456808938307907,0.318456808938307967,Posit
36,0.69674,0.305887282263286903,0.305887282263286914,0.305887282263286930,Posit
37,0.171438,0.404158629202467492,0.404158629202467508,0.404158629202467479,Double
38,0.157488,0.408570820393105606,0.408570820393105622,0.408570820393105605,Double
39,0.944306,0.081862858618327663,0.081862858618327666,0.081862858618327677,Posit
40,0.397742,0.125148743234670520,0.125148743234670524,0.125148743234670512,Posit
41,0.658995,0.064522779102633849,0.064522779102633850,0.064522779102633848,EQUAL
42,0.228412,0.383928221840445646,0.383928221840445661,0.383928221840445671,Posit
43,0.618259,0.278166394666745414,0.278166394666745425,0.278166394666745420,Double
44,0.254126,0.415575515038326877,0.415575515038326893,0.415575515038326904,Posit
45,0.240353,0.253905386900221241,0.253905386900221251,0.253905386900221242,Double
46,0.728892,0.188223044345987968,0.188223044345987974,0.188223044345987967,Double
47,0.394259,0.245940439653097101,0.245940439653097110,0.245940439653097115,Posit
48,0.394982,0.334153038285540718,0.334153038285540731,0.334153038285540771,Posit
49,0.730559,0.046459982873778985,0.046459982873778986,0.046459982873778984,EQUAL
50,0.754458,0.275446441971414077,0.275446441971414087,0.275446441971414102,Posit
51,0.55989,0.212965249665040136,0.212965249665040144,0.212965249665040129,Double
52,0.86698,0.145607324983117457,0.145607324983117463,0.145607324983117459,Double
53,0.413236,0.086672705917942084,0.086672705917942087,0.086672705917942100,Posit
54,0.862381,0.053761701505716359,0.053761701505716360,0.053761701505716360,EQUAL
55,0.69763,0.155847938448538673,0.155847938448538679,0.155847938448538698,Posit
56,0.643548,0.311370982677588163,0.311370982677588175,0.311370982677588171,Double
57,0.134842,0.429375970399665897,0.429375970399665914,0.429375970399665907,Double
58,0.433365,0.369117372080922439,0.369117372080922454,0.369117372080922435,Double
59,0.949814,0.243169402717978903,0.243169402717978912,0.243169402717978905,Double
60,0.9093,0.182743118004508299,0.182743118004508306,0.182743118004508293,Double
61,0.461722,0.287382015521312091,0.287382015521312102,0.287382015521312095,Double
62,0.536345,0.020441519287675335,0.020441519287675335,0.020441519287675337,Posit
63,0.931046,0.202283777708554683,0.202283777708554690,0.202283777708554685,Double
64,0.75943,0.132769968088349378,0.132769968088349383,0.132769968088349399,Posit
65,0.603389,0.213914116514773874,0.213914116514773882,0.213914116514773878,Double
66,0.582286,0.229825147532762178,0.229825147532762187,0.229825147532762203,Posit
67,0.522025,0.231094386542515161,0.231094386542515169,0.231094386542515184,Posit
68,0.898346,0.147654725190900300,0.147654725190900305,0.147654725190900310,Posit
69,0.892992,0.161930370625339337,0.161930370625339342,0.161930370625339354,Posit
70,0.922581,0.071501355005839041,0.071501355005839044,0.071501355005839040,Double
71,0.317078,0.240036737919795988,0.240036737919795997,0.240036737919796017,Posit
72,0.527791,0.208514122479529605,0.208514122479529612,0.208514122479529634,Posit
73,0.0642489,0.473119859121803153,0.473119859121803171,0.473119859121803155,Double
74,0.999264,0.102897851279937600,0.102897851279937604,0.102897851279937599,Double
75,0.768103,0.097511360153541053,0.097511360153541056,0.097511360153541060,Posit
76,0.115947,0.141706670006601415,0.141706670006601420,0.141706670006601421,Posit
77,0.725717,0.117539268383202487,0.117539268383202491,0.117539268383202486,Double
78,0.443643,0.225103888372388820,0.225103888372388828,0.225103888372388816,Double
79,0.996371,0.025961871278634628,0.025961871278634628,0.025961871278634630,Posit
80,0.0131345,0.488190481192608490,0.488190481192608509,0.488190481192608494,Double
